produto_id,feed_id,loja,nome,preco_atual,preco_anterior,preco_min,preco_max,primeira_vez,ultima_alteracao
41852427957,98680,Clovis Calçados BR,Bolsa Feminina Transversal Fuseco WBFT81007 PRETO,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41852427958,98680,Clovis Calçados BR,Bolsa Feminina Transversal Fuseco WBFT81007 BEGE,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41852427959,98680,Clovis Calçados BR,Bolsa Feminina Transversal Fuseco WBFT81007 VERDE,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41852427960,98680,Clovis Calçados BR,Sandália Feminina Conforto Beira Rio 8523116 CAMEL 34,119.99,119.99,119.99,119.99,2026-08-09,2026-08-09
41855052170,98680,Clovis Calçados BR,Mochila Masculina Basic New Olympikus OIWB251811 ROXO,119.99,119.99,119.99,119.99,2026-08-09,2026-08-09
41855052172,98680,Clovis Calçados BR,Sapato Feminino Moleca - 5621215 BEGE 35,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41855052180,98680,Clovis Calçados BR,Sandália Feminina Salto Grosso Usaflex MA0505 MARINHO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41855052181,98680,Clovis Calçados BR,Sandália Feminina Conforto Beira Rio 8523116 PRETO 34,119.99,119.99,119.99,119.99,2026-08-09,2026-08-09
41855052182,98680,Clovis Calçados BR,Sapatilha Feminina Flat Modare 7334252 PRETO 34,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41855052183,98680,Clovis Calçados BR,Tênis Feminino Casual Vizzano 1389120 PRETO/BRANCO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41855052184,98680,Clovis Calçados BR,Sapato Feminino Mule Beira Rio 4312112 PRETO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41855052185,98680,Clovis Calçados BR,Tênis Feminino Casual Moleca 5712330 PRETO 33,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41855052186,98680,Clovis Calçados BR,Mochila Masculina Royal Style 3505 PRETO,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41855052188,98680,Clovis Calçados BR,Sandália Feminina Rasteira Modare - 7163105 CHOCOLATE 34,49.99,49.99,49.99,49.99,2026-08-09,2026-08-09
41855052189,98680,Clovis Calçados BR,Chuteira Masculina Futsal Furia Penalty - 124247 AZUL 42,179.99,179.99,179.99,179.99,2026-08-09,2026-08-09
41858392101,98680,Clovis Calçados BR,Bota Feminina Cano Baixo Mississipi - Q8113 PRETO 37,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41861394048,98680,Clovis Calçados BR,Chinelo Masculino KN6 Pro U1 Kenner - DFY PRETO 40,129.99,129.99,129.99,129.99,2026-08-09,2026-08-09
41861394053,98680,Clovis Calçados BR,Sandália Feminina Salto Grosso Vizzano 6499110 MARFIM 36,139.99,139.99,139.99,139.99,2026-08-09,2026-08-09
41861394054,98680,Clovis Calçados BR,Tamanco Feminino Flat Modare 7163100 BEGE 35,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41861394056,98680,Clovis Calçados BR,Melissa Spikes Boot + Undercover 33789 OLIVA 33/34,349.99,349.99,349.99,349.99,2026-08-09,2026-08-09
41861394062,98680,Clovis Calçados BR,Cinto Masculino Fasolo - T136403 CAFÉ 85,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41865536420,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 36.000 (4x Evap Cassete 1 Via 12.000) Quente/Frio 220V,21936.45,21936.45,21936.45,21936.45,2026-08-09,2026-08-09
41865536421,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 36.000 (2x Evap HW 12.000 + 2x Evap Cassete 1 Via 12.000) Quente/Frio 220V,19145.35,19145.35,19145.35,19145.35,2026-08-09,2026-08-09
41865536422,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 36.000 (2x Evap Cassete 1 Via 9.000 + 2x Evap Cassete 1 Via 12.000) Quente/Frio 220V,21837.65,21837.65,21837.65,21837.65,2026-08-09,2026-08-09
41865536423,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 36.000 (1x Evap Cassete 1 Via 12.000 + 2x Evap Cassete 1 Via 18.000) Quente/Frio 220V,19190.0,19190.0,19190.0,19190.0,2026-08-09,2026-08-09
41865536424,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 36.000 (3x Evap HW 9.000 + 1x Evap Cassete 1 Via 12.000) Quente/Frio 220V,16059.75,16059.75,16059.75,16059.75,2026-08-09,2026-08-09
41865536425,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 42.000 (2x Evap HW 9.000 + 2x Evap Cassete 1 Via 12.000) Quente/Frio 220V,19297.35,19297.35,19297.35,19297.35,2026-08-09,2026-08-09
41865536426,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 36.000 (2x Evap HW 9.000 + 2x Evap Cassete 1 Via 12.000) Quente/Frio 220V,18018.65,18018.65,18018.65,18018.65,2026-08-09,2026-08-09
41865536427,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 42.000 (4x Evap HW 9.000 + 1x Evap Cassete 1 Via 12.000) Quente/Frio 220V,18544.0,18544.0,18544.0,18544.0,2026-08-09,2026-08-09
41865536428,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 42.000 (3x Evap HW 9.000 + 2x Evap Cassete 1 Via 12.000) Quente/Frio 220V,20502.9,20502.9,20502.9,20502.9,2026-08-09,2026-08-09
